epoch,acc,loss,val_acc,val_loss
0,0.5406537055969238,0.6897553205490112,0.5543333292007446,0.6825054287910461
1,0.5564963221549988,0.6814085841178894,0.5585444569587708,0.6800784468650818
2,0.5585648417472839,0.6804438233375549,0.5579110980033875,0.6802958846092224
3,0.5590605139732361,0.6799775958061218,0.5582610964775085,0.6798824667930603
4,0.5603382587432861,0.6794497966766357,0.5605499744415283,0.6795759201049805
5,0.5612765550613403,0.6790004372596741,0.5614333152770996,0.6786853075027466
6,0.5617036819458008,0.678693413734436,0.5629444718360901,0.6778332591056824
7,0.5621339678764343,0.6784369349479675,0.5639944672584534,0.6782696843147278
8,0.5630771517753601,0.6781412959098816,0.5635333061218262,0.6774104833602905
9,0.563048779964447,0.6779401302337646,0.5643277764320374,0.6773517727851868
10,0.5638394951820374,0.6777667999267578,0.5653944611549377,0.6771191954612732
11,0.5639685392379761,0.677545964717865,0.5605833530426025,0.6789411902427673
12,0.5640592575073242,0.6775674223899841,0.5656055808067322,0.6771067976951599
13,0.5642438530921936,0.6773415207862854,0.5639222264289856,0.6788061857223511
14,0.5647456645965576,0.6773109436035156,0.5657777786254883,0.6771122813224792
15,0.564479649066925,0.6771698594093323,0.5655666589736938,0.6770496368408203
16,0.5653419494628906,0.6769425272941589,0.5648555755615234,0.676982045173645
17,0.5650246739387512,0.6769097447395325,0.5654388666152954,0.6768686175346375
18,0.5656259059906006,0.6767765283584595,0.5636833310127258,0.6775577664375305
19,0.5658684968948364,0.676683247089386,0.5654388666152954,0.6775013208389282
20,0.5656055808067322,0.6766692399978638,0.5652889013290405,0.6769405007362366
21,0.5659802556037903,0.6765605211257935,0.5646055340766907,0.6769245862960815
22,0.5659753084182739,0.6764474511146545,0.565572202205658,0.6768270134925842
23,0.5664024949073792,0.6764132976531982,0.5653833150863647,0.677344799041748
24,0.566310465335846,0.6763430833816528,0.5674389004707336,0.6764893531799316
25,0.566359281539917,0.6762080788612366,0.5650833249092102,0.6773325204849243
26,0.566643238067627,0.6762179732322693,0.5651721954345703,0.6770073771476746
27,0.5665493607521057,0.6761249303817749,0.5654277801513672,0.6768880486488342
28,0.5670734643936157,0.6760604381561279,0.5653111338615417,0.6774898171424866
29,0.5670271515846252,0.6759774088859558,0.5654333233833313,0.6767923831939697
30,0.5673586130142212,0.6759613156318665,0.566444456577301,0.676899254322052
31,0.5673808455467224,0.6759307980537415,0.5662999749183655,0.6768555045127869
32,0.5673524737358093,0.6758266091346741,0.5654555559158325,0.6770562529563904
33,0.5677857995033264,0.6757513284683228,0.5651666522026062,0.67743319272995
34,0.5680178999900818,0.6757277846336365,0.5672277808189392,0.6768397688865662
